title,body,labels,links,size,comments
"Default Git branch is ""testing""","Should follow ALA convention of ""develop"" being the main branch and ""master"" being the ""production"" branch",source control,,High,
Missing software license file,"Needs a file in root dir called LICENSE, that contains the Mozilla 1.1 license text",legal,,Med,
List-ui README incomplete,"README file appears to be a copy and paste from another React repo and is not specific to this project. Needs to provide general information on the software and how to run it locally (including local config). Also should mention this is a replacement for the specieslist-webapp project, with link to older repo.",documentation,,Med,
.DS_Store file in project root,Needs to be removed from repo and .gitignore updated to prevent future commits for this Mac FS metadata file. ,source,,High,
list-ui - ALA skin,"ALA header, footer and styling is provided by an external React module called '@atlasoflivingaustralia/ala-mantine'. This needs to be documented in the list-ui README file.",source ,,Med,
Source code missing OS license text,"All code files should include the Mozilla open source copyright declaration at the top, similar to the LICENSE file.",source,,High,
Source code formatting,"Java code does not following ALA coding convention, e.g. should use 4 space indenting but uses 2 spaces. Most class files are missing Javadoc as are public methods.",source,,Med,
Software Dependencies,"SNAPSHOT dependency in pom.xml - should be stable version. For ""ala-ws-spring-security"".",source,https://github.com/AtlasOfLivingAustralia/species-lists/blob/testing/lists-service/pom.xml#L56-L60,High,
list-ui - ALA skin,"App uses the new ALA skin that has not been used in production. If this app is deployed to prod before the UX/UI project is complete, it will not match the look and feel of the rest of the ALA.",UI, ,Low,to be addressed prior to release of UX designs 
Banner messages,"Code refers to a 'ExternalBanner' component but there appears to be no way of adding a custom banner text on the admin page. Further digging suggests an external JSON file can be referenced via a URL in the config. This needs to be documented so admin can turn on and off - seems the config needs to be set and unset in current implementation. Older ALA apps use the ""admin"" page to do this, so suggesting it is documented on that page.",UI,,Low,
Admin danger zone ,"Has a warning message ""Extremely massive danger zone here. Run these ONLY in development/testing environments."" but its easy to miss. App could easily check the running ENV (dev/test/prod) and simply NOT display this section if PROD deployment.",UI,https://github.com/AtlasOfLivingAustralia/species-lists/blob/testing/lists-ui/src/views/Admin/index.tsx#L384-L421,Med,resolved
Lists sorting,"Seems to be no way to sort a lists of lists by date or name (only sorting within an individual list). Old lists of lists could be sorted by many fields, including created/updated date.",UI,,High,
My Lists,"Being logged in with my csiro account, I get zero lists when viewing this page. Lists-test shows me 23 lists with same account. Seems its not recognising list ownership from lists migrated from lists-test. Jack confirmed this is a migration issue relating to userId not being provided in the export.",UI,https://github.com/AtlasOfLivingAustralia/species-lists/pull/227,High,Resolved
Facets for list types ,"It took me a lot of hunting to find this feature - which is hidden in the small button with a ""filter"" icon. Old lists always displayed the facets and I prefer that UX. Old lists app used the label ""Refine lists"", which differs from the new Lists (filter vs refine). This will likely confuse users who are familiar with old app.",UI,,Low-Medium,could be adressed prior to release of UX designs
list-service README,"Doesn't mention prerequisites needed to run app. Things like minimum versions of Java and Maven. It seems to be out of date as well, as it quotes the way to run it is: ""./gradlew bootRun"" but app has pom.xml and no gradle config and so it must be a ""mvn"" command. Also doesn't provide doco on what local config files are needed for dev",documentation,https://github.com/AtlasOfLivingAustralia/species-lists/blob/testing/lists-service/README.md,High,
List search - filters counts are not correct,"Doing a query from home page, then clicking the filters button shows counts for each filter that do not match the count you get when the filter is applied. Edit: known bug confirmed by Jack, yet to be fixed/deployed.",bug,https://github.com/AtlasOfLivingAustralia/species-lists/issues/242,Med-High,
List editing issues,"Can't edit an imported/legacy list without having to add a description & licence, that are required fields for new lists but weren't for old lists. User doing edit  may not know the appropriate license type but is forced to add it. 
Clicking save results in JS error and spinning icon that never stops but reloading page shows saved data.",UI,,Low,To be addessed in next update
Missing API endpoints,"Associated GH issue: https://github.com/AtlasOfLivingAustralia/species-lists/issues/3

/ws/species/$guid**? (implemented in https://github.com/AtlasOfLivingAustralia/species-lists/pull/235)
/ws/queryListItemOrKVP (updated /speciesListItems in https://github.com/AtlasOfLivingAustralia/species-lists/pull/239)
/ws/listCommonKeys (implemented in https://github.com/AtlasOfLivingAustralia/species-lists/pull/235)

New endpoints MUST support the same GET and POST parameters as legacy endpoints - currently some do not (needs details) 

Other endpoints we can ignore according to issue-3:
/ws/speciesListPost (POST) 
/ws/findSpeciesByName 
/ws/speciesListItems/keys
/ws/speciesListItems/byKeys/ws/speciesList/filter (POST)
/ws/speciesListItemKvp/$druid ",API,"https://github.com/AtlasOfLivingAustralia/species-lists/issues/3

https://github.com/AtlasOfLivingAustralia/specieslist-webapp/blob/develop/grails-app/controllers/au/org/ala/specieslist/UrlMappings.groovy#L52",High,
Clarify role of Collectory,"Old list app synced metadata with Collectory - I suspect this is no longer performed, by design but I can't see any mention of it in the README files. ",documentation,,,
Clarify role of Userdetails,Old lists has an admin sync option for updating user attributes between it user table and details in userdetails app. Does the new lists app maintain a similar copy of user attributes or are they transiently pulled from userdetails every time?,documentation,,,
Admin rematch history,Old list shows a history of rematch events in admin section. Missing in new lists app - by design or omission?,feature,,,
Rematch Multiple lists,No rematch option for multiple lists (only all on the admin screen or one on the individual list)  (comment by data team),feature,,,
Util/auth code,"Can the ""src/main/java/au/org/ala/listsapi/util/auth"" be removed, if it is now included in the AUTH library, as per https://github.com/AtlasOfLivingAustralia/ala-security-project/issues/49 ?",source,https://github.com/AtlasOfLivingAustralia/species-lists/tree/testing/lists-service/src/main/java/au/org/ala/listsapi/util/auth,,
Home/landing page - heading,"There is no top-level heading for the page, so new users are given no indication what this site does and has to infer it from the content. ",UI,,High,duplicate what is on old lists
Home/landing page - search bar,The search bar is nestled between 2 other widgets used to modify the table/list of entries. This makes it a bit harder to understand what it is. I think the old lists with a dedicated search bar with no other widgets to the left or right is preferable. Search bar should have a dedicated search button (missing) and should be consistent with similar search bars on other ALA tools. Items/page and sort options should be grouped together and visually tied to the results table,UI,,Low,could be adressed prior to release of UX designs
Home/landing page - results table,"Old Lists tool had many columns to help a user visually determine attributes of a list before opening a given list. New version has minimum attributes (3 vs 9 in old). I think new lists could include a few more attributes, such as creation date and/or modified date. Public could be removed as it seems redundant, as most users can't see non-public lists, apart from their own lists and there is a separate page for that. Also needs to be able to be sorted by some of these attributes and sortable tables are an accepted component type (see sorting  item 14)",UI,,Low,could be adressed prior to release of UX designs
Pagination,"Clicking to a different page for the results table can seem like nothing has happened, as the content is update but page does not move/change noticeably. View should auto-scroll to the top of the table view when pagination is triggered so user is visually nudged that content has changed",UI,,Low,could be adressed prior to release of UX designs
